Snapshot_Month,Pipeline_Deal_ID,Deal_Name,Customer_Name,Deal_Value, License_ACV ,Implementation_Value,Logo_Type,Deal_Stage,Current_Stage,Probability,Expected_Close_Date,Region,Vertical,Segment,Product_Sub_Category,Sales_Rep
3/1/2024,3.08E+11,Topsoe_Spend upsell,Haldor Topsoe Holding A/S,"$4,500 ","$4,500 ",$0 ,Upsell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 3: RFP / Proposal (Software Sales Opportunity),30%,5/17/2024,Europe,BFSI,,,Stephan Hesselgren
3/1/2024,3.08E+11,NEI_Sourcing,National Engineering Industries Ltd,"$9,000 ","$4,500 ","$4,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,7/18/2024,APAC,Automotive and Industrial,,,Jithesh Karat
3/1/2024,3.08E+11,MHP (RAFI)_Mid Ent_Sourcing,MHP Management- und IT-Beratung GmbH,"$7,950 ","$4,200 ","$3,750 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,7/19/2024,Europe,Other Services,,,Sourabh Sharma
3/1/2024,3.08E+11,Indo Count_MidEnt_S2P + Spend + ICM,Indo Count Industries Limited,"$67,500 ","$32,250 ","$35,250 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 12: Closed Declined (Software Sales Opportunity),30%,5/24/2024,APAC,Automotive and Industrial,,,Rajat Vij
3/1/2024,3.08E+11,Gaviota_MidEnt_Sourcing,Gaviota Simbac SL,"$7,500 ","$3,750 ","$3,750 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,12/23/2024,Europe,Other Services,,,Manas Kasliwal
3/1/2024,3.08E+11,SGX - Sourcing,Singapore Exchange Ltd,"$24,000 ","$12,000 ","$12,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,11/12/2024,APAC,BFSI,,,Jithesh Karat
3/1/2024,3.08E+11,Ecosystem Sourcing – Resell,ecosystem,"$16,733 ","$12,000 ","$4,733 ",New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,2/29/2024,Europe,Public Sector,,,Vivek Bisht
3/1/2024,3.08E+11,JPMorgan Chase - TPRM (Post Design Impl),JP Morgan Chase & Company,"$243,000 ",$0 ,"$243,000 ",New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,3/29/2024,North America,BFSI,,,Suresh Visvanathan
3/1/2024,3.08E+11,Hellenic Bank_New CR_ 2 Months,Hellenic Bank Public Company Ltd,"$13,500 ",$0 ,"$13,500 ",Upsell,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),90%,2/10/2024,Europe,BFSI,,,Padmanabhan Doraisamy
3/1/2024,3.08E+11,Chevron - 2024 implementation,Chevron Corporation,"$10,125,000 ",$0 ,"$10,125,000 ",Upsell,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,2/13/2024,North America,Chemicals/Oil/Gas/Resources,,,Johnson Fernandes
3/1/2024,3.08E+11,COP_Premium Support Variable Upside,ConocoPhillips,"$161,000 ",$0 ,"$161,000 ",Upsell,Stage 5: Awarded / Preferred Partner (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),70%,2/14/2024,North America,Chemicals/Oil/Gas/Resources,,,Prasad Sawant
3/1/2024,3.08E+11,COP_Amendment of existing Implementation SOW - CR,ConocoPhillips,"$2,800,000 ",$0 ,"$2,800,000 ",Upsell,Stage 5: Awarded / Preferred Partner (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),70%,3/14/2024,North America,Chemicals/Oil/Gas/Resources,,,Prasad Sawant
3/1/2024,3.08E+11,BoFA_ Premium Services Addl. FTE and Extension,Bank of America Corporation,"$60,000 ",$0 ,"$60,000 ",Upsell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),30%,3/14/2024,North America,BFSI,,,Abhishek Ranjan
3/1/2024,3.08E+11,COP_ Interface Extension (Ramesh Babu),ConocoPhillips,"$165,000 ",$0 ,"$165,000 ",Upsell,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,2/14/2024,North America,Chemicals/Oil/Gas/Resources,,,Prasad Sawant
3/1/2024,3.08E+11,Roche NEXXE New SOW,Roche Holding AG,"$1,350,000 ",$0 ,"$1,350,000 ",Upsell,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,2/28/2024,Europe,Life Sciences,,,Krishna Prasad Jayarajan
3/1/2024,3.08E+11,Citi – 2024 Implementation,Citigroup Inc.,"$135,000 ",$0 ,"$135,000 ",Upsell,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,3/15/2024,North America,BFSI,,,Krishna Prasad Jayarajan
3/1/2024,3.08E+11,ESI_Project Module_Upsell,Eversheds Sutherland (International) LLP,"$15,000 ",$0 ,"$15,000 ",Upsell,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,2/29/2024,Europe,Other Services,,,Bharath Raghavan
3/1/2024,3.08E+11,Kellogg_Keebler_Company Code_Upsell_2024,Kellogg Company,"$92,700 ",$0 ,"$92,700 ",Upsell,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,2/29/2024,North America,CPG & Retail,,,Mayur Jain
3/1/2024,3.08E+11,PSP Investments - S2P Impl,PSP Investments Canada Inc,"$720,000 ",$0 ,"$720,000 ",New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,2/29/2024,North America,BFSI,,,Brian Bergersen
3/1/2024,3.08E+11,Petronas Stabilization 2024,Petronas Gas Berhad,"$300,000 ",$0 ,"$300,000 ",Upsell,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,3/14/2024,APAC,Chemicals/Oil/Gas/Resources,,,Mithesh Devadiga
3/1/2024,3.08E+11,ChampionX Delay CR,ChampionX Corporation,"$370,000 ",$0 ,"$370,000 ",Upsell,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,2/29/2024,North America,Chemicals/Oil/Gas/Resources,,,Devang Oza
3/1/2024,3.08E+11,D.A. Collins_Additional Scope,D.A. Collins Companies,"$1,800 ",$0 ,"$1,800 ",Upsell,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,2/29/2024,North America,Other Services,,,Padmanabhan Doraisamy
3/1/2024,3.08E+11,AltaGas_IMP Fees,AltaGas Ltd,"$163,500 ",$0 ,"$163,500 ",New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),90%,3/28/2024,North America,Chemicals/Oil/Gas/Resources,,,Jack Keogh
3/1/2024,3.08E+11,Johnson Controls - 2023 Billing Slab @ 14Bn Annual Spend. Price increase to 254K instead of 216K,"Johnson Controls, Inc.","$8,500 ",$0 ,"$8,500 ",Upsell,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,3/30/2024,North America,Automotive and Industrial,,,Mayur Jain
3/1/2024,3.08E+11,Roche - ESG GEP Green Software,Roche Holding AG,"$30,000 ",$0 ,"$30,000 ",Cross Sell,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),15%,3/29/2024,Europe,Life Sciences,,,Aavni Piparsania
3/1/2024,3.08E+11,RFI for Software,Google Inc.,$0 ,$0 ,$0 ,Cross Sell,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 12: Closed Declined (Software Sales Opportunity),15%,4/29/2024,North America,Telecom/Media/Tech,,,Todd Bremer
3/1/2024,3.08E+11,Pertamina Phase 4 Implementation,PT Pertamina Gas,"$350,000 ",$0 ,"$350,000 ",Upsell,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,4/30/2024,APAC,Chemicals/Oil/Gas/Resources,,,Muralidhar Narayana
3/1/2024,3.08E+11,Textron ESG Stage II Opp,Textron Inc.,$0 ,$0 ,$0 ,New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,4/30/2024,North America,Automotive and Industrial,,,Aavni Piparsania
3/1/2024,3.08E+11,Pertamina Contract for Change Requests,PT Pertamina Gas,"$500,000 ",$0 ,"$500,000 ",Upsell,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,4/30/2024,APAC,Chemicals/Oil/Gas/Resources,,,Muralidhar Narayana
3/1/2024,3.08E+11,Valeo -  S2C impl. holdback (10%),Valeo SA,"$203,040 ",$0 ,"$203,040 ",New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,6/30/2024,Europe,Automotive and Industrial,,,Krishna Prasad Jayarajan
3/1/2024,3.08E+11,Petronas SRM upgrades,Petronas Gas Berhad,"$125,000 ",$0 ,"$125,000 ",Upsell,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,6/30/2024,APAC,Chemicals/Oil/Gas/Resources,,,Bharath Raghavan
3/1/2024,3.08E+11,ABRDN_TPRM + S2C,Abrdn Plc,$0 ,$0 ,$0 ,New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,7/1/2024,Europe,BFSI,,,Sam Zaki
3/1/2024,3.08E+11,"Cap Blue_RFP_CLM, Sourcing, VM",Capital Blue Cross,$0 ,$0 ,$0 ,New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,7/19/2024,North America,BFSI,,,Brian Bergersen
3/1/2024,3.08E+11,ConocoPhillips Third Party Risk Monitoring RFP,ConocoPhillips,"$122,288 ","$39,788 ","$82,500 ",Cross Sell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,7/25/2024,North America,Chemicals/Oil/Gas/Resources,,,Uday Singh
3/1/2024,3.08E+11,Barry Callebaut S2P (via EY Suisse),Barry Callebaut AG,"$45,000 ","$22,500 ","$22,500 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,7/31/2024,Europe,CPG & Retail,,,Uwe Stroh
3/1/2024,3.08E+11,Bekaert_GR Inbound_Upsell_2024,NV Bekaert SA,"$9,000 ",$0 ,"$9,000 ",Upsell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,8/15/2024,Europe,Automotive and Industrial,,,Mayur Jain
3/1/2024,3.08E+11,7-11_ P2P IMP Fees,"7-Eleven, Inc.","$900,000 ",$0 ,"$900,000 ",New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),90%,8/30/2024,North America,CPG & Retail,,,Jack Keogh
3/1/2024,3.08E+11,Johnson Controls_Taxonomy Update_Upsell_2024,"Johnson Controls, Inc.","$1,265 ",$0 ,"$1,265 ",Upsell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,8/31/2024,North America,Automotive and Industrial,,,Mayur Jain
3/1/2024,3.08E+11,Bekaert_Invoice Inbound_Upsell_2024,NV Bekaert SA,"$9,000 ",$0 ,"$9,000 ",Upsell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,9/30/2024,North America,Automotive and Industrial,,,Mayur Jain
3/1/2024,3.08E+11,Bekaert_Data Lake_Upsell_2024,NV Bekaert SA,"$18,000 ",$0 ,"$18,000 ",Upsell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,9/30/2024,Europe,Automotive and Industrial,,,Mayur Jain
3/1/2024,3.08E+11,Huntington Bank_ S2P_RFP,The Huntington National Bank Inc.,$0 ,$0 ,$0 ,New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,11/15/2024,North America,BFSI,,,Brian Bergersen
3/1/2024,3.08E+11,Swiss Steel AG_S2P,Swiss Steel AG,"$45,000 ","$22,500 ","$22,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),15%,8/31/2024,Europe,Other Services,,,Uwe Stroh
3/1/2024,3.08E+11,Telefonica_Enhancements_Upsell_2024,Telefonica O2 UK Ltd,"$143,100 ",$0 ,"$143,100 ",Upsell,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,3/31/2024,Europe,Telecom/Media/Tech,,,Mayur Jain
3/1/2024,3.08E+11,Newcleo_IBM_MidEnt 2024,IBM United Kingdom Ltd,"$9,000 ","$4,500 ","$4,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,5/31/2024,Europe,Telecom/Media/Tech,,,Suman Mohanty
3/1/2024,3.08E+11,Rockline_MidEnt_S2C,Rockline Industries Inc,"$41,250 ","$22,500 ","$18,750 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,9/17/2024,North America,CPG & Retail,,,Prasangika Rai
3/1/2024,3.08E+11,ING Groep - R2R,ING Groep N.V.,"$360,000 ","$135,000 ","$225,000 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 3: RFP / Proposal (Software Sales Opportunity),15%,11/29/2024,Europe,BFSI,,,Bernard Remacle
3/1/2024,3.08E+11,Bell Partners_MidEnt_P2P,Bell Partners Inc.,"$48,750 ","$22,500 ","$26,250 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,11/19/2024,North America,Other Services,,,Prasangika Rai
3/1/2024,3.08E+11,Kellogg_S4 Hana_Company Code_Upsell_2024,Kellogg Company,"$135,000 ",$0 ,"$135,000 ",Upsell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),30%,4/1/2024,North America,CPG & Retail,,,Mayur Jain
3/1/2024,3.08E+11,Sungrid_Sourcing_MidEnt,SunGrid Solutions Inc,"$9,300 ","$4,800 ","$4,500 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,4/30/2024,North America,Other Services,,,Sneha Dolare
3/1/2024,3.08E+11,HCSC_P2Pphase 2,HCSC Heath Care Service Corporation,"$37,500 ","$37,500 ",$0 ,New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,6/14/2024,North America,Life Sciences,,,Connor Andrews
3/1/2024,3.08E+11,Milton Hershey_MidEnt_CLM,Milton Hershey School,"$9,000 ","$4,500 ","$4,500 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,7/18/2024,North America,Public Sector,,,Prasangika Rai
8/1/2024,3.08E+11,AbbVie Source to Pay,AbbVie Inc.,"$840,000 ","$630,000 ","$210,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,12/11/2024,North America,Life Sciences,,,Uday Singh
8/1/2024,3.08E+11,Reliance Group-_S2P Smart + S2P Nexxe,Jio Platforms Limited,"$1,237,500 ","$525,000 ","$712,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,9/30/2024,APAC,Telecom/Media/Tech,,,Amit Bhatia
8/1/2024,3.08E+11,Petroleum Development Oman_S2P RFP,Petroleum Development Oman,"$446,250 ","$217,500 ","$228,750 ",Cross Sell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 4: Short-List (Software Sales Opportunity),30%,10/31/2024,Middle East,Chemicals/Oil/Gas/Resources,,,Abdel Halim
8/1/2024,3.08E+11,FPL S2P,Florida Power & Light Company,"$1,299,600 ","$1,299,600 ",$0 ,New Logo,Stage 5: Awarded / Preferred Partner (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),70%,9/30/2024,North America,Energy & Utilities,,,Mattie Farnsworth
8/1/2024,3.08E+11,Adobe_S2P,Adobe Systems Inc.,"$1,678,370 ","$814,370 ","$864,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,9/30/2024,North America,Telecom/Media/Tech,,,Karson Keogh
8/1/2024,3.08E+11,Pertamina - Supplier & A/P expansion and standardization,PT Pertamina Gas,"$750,000 ","$300,000 ","$450,000 ",Upsell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,10/31/2024,APAC,Chemicals/Oil/Gas/Resources,,,Muralidhar Narayana
8/1/2024,3.08E+11,DSG_RFP_P2P & Sourcing,"DICK'S Sporting Goods, Inc.","$358,650 ","$148,650 ","$210,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,10/25/2024,North America,CPG & Retail,,,Brian Bergersen
8/1/2024,3.08E+11,Bank of America Sales Side CLM Opportunity,Bank of America Corporation,"$373,050 ","$103,050 ","$270,000 ",Upsell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,9/25/2024,North America,BFSI,,,Uday Singh
8/1/2024,3.08E+11,The Hanover Insurance Group - S2P RFP,"The Hanover Insurance Group, Inc.","$1,000,800 ","$403,801 ","$596,999 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,11/28/2024,North America,BFSI,,,Uday Singh
8/1/2024,3.08E+11,Hologic Inc- S2P RFP,"Hologic, Inc.","$276,060 ","$96,060 ","$180,000 ",Cross Sell,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,11/25/2024,North America,Life Sciences,,,Mattie Farnsworth
8/1/2024,3.08E+11,PerkinElmer_RFP_S2P,"PerkinElmer, Inc.","$172,685 ","$75,185 ","$97,500 ",Upsell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,11/18/2024,North America,Life Sciences,,,Brian Bergersen
8/1/2024,3.08E+11,GEICO_RFP_S2C + TPRM,GEICO Corporation,"$650,372 ","$420,872 ","$229,500 ",New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,8/9/2024,North America,BFSI,,,Brian Bergersen
8/1/2024,3.08E+11,PwC Middle East_S2P RFP,PricewaterhouseCoopers Middle East LLP,"$129,000 ","$61,500 ","$67,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,11/29/2024,Middle East,Other Services,,,Abdel Halim
8/1/2024,3.08E+11,Mubadala_P2P,Mubadala Petroleum LLC,"$135,000 ","$60,000 ","$75,000 ",Cross Sell,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 3: RFP / Proposal (Software Sales Opportunity),30%,12/30/2024,Middle East,Chemicals/Oil/Gas/Resources,,,Abdel Halim
8/1/2024,3.08E+11,Jack Henry_S2P,"Jack Henry & Associates, Inc.","$171,262 ","$58,913 ","$112,350 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,9/30/2024,North America,BFSI,,,Joe Wishy
8/1/2024,3.08E+11,Shell & AMG Recycling Saudi_S2C,Shell & AMG Recycling B.V.,"$123,750 ","$57,750 ","$66,000 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,11/19/2024,Middle East,Chemicals/Oil/Gas/Resources,,,Abdel Halim
8/1/2024,3.08E+11,Kiewit_S4HANA_Upsell_2024,Kiewit Corporation,"$405,000 ",$0 ,"$405,000 ",Upsell,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,8/31/2024,North America,Other Services,,,Mayur Jain
8/1/2024,3.08E+11,Hempel A/S_S2C,Hempel A/S,"$112,950 ","$56,700 ","$56,250 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 5: Awarded / Preferred Partner (Software Sales Opportunity),50%,9/20/2024,Europe,Chemicals/Oil/Gas/Resources,,,Stephan Hesselgren
8/1/2024,3.08E+11,Galaxy Entertainment Group_S2P,Galaxy Entertainment Group Limited,"$126,750 ","$56,250 ","$70,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 3: RFP / Proposal (Software Sales Opportunity),50%,10/30/2024,APAC,Other Services,,,Louie Li
8/1/2024,3.08E+11,TECHNIP ENERGIES - S2P (Direct),Technip Energies France,"$175,500 ","$55,500 ","$120,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),50%,10/30/2024,Europe,Other Services,,,Bernard Remacle
8/1/2024,3.08E+11,Johnsonville_S2P,"Johnsonville Sausage, LLC","$150,236 ","$52,736 ","$97,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,12/20/2024,North America,CPG & Retail,,,Joe Wishy
8/1/2024,3.08E+11,GIC_S2C,GIC Pte Ltd,"$114,675 ","$51,675 ","$63,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,11/29/2024,APAC,BFSI,,,Franic Seah
8/1/2024,3.08E+11,AOC Resins_S2P,The Alpha Corporation of Tennessee Inc,"$115,174 ","$51,424 ","$63,750 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,12/20/2024,North America,Chemicals/Oil/Gas/Resources,,,Brian Bergersen
8/1/2024,3.08E+11,Mankind Pharma -S2P + ICM + Spend +Nexxe,MANKIND PHARMA LTD,"$456,000 ","$204,000 ","$252,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 4: Short-List (Software Sales Opportunity),50%,11/30/2024,APAC,Life Sciences,,,Rajat Vij
8/1/2024,3.08E+11,Flagship_Mid Ent_S2P,Flagship Pioneering Inc,"$124,500 ","$51,000 ","$73,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,10/31/2024,North America,BFSI,,,Srinivas Moorthy
8/1/2024,3.08E+11,GPSC_S2P (Global Power Synergy Company_Thailand),Global Power Synergy Company Public Limited,"$498,000 ","$198,000 ","$300,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 4: Short-List (Software Sales Opportunity),50%,11/20/2024,APAC,Energy & Utilities,,,Franic Seah
8/1/2024,3.08E+11,Keyera_S2P,Keyera Corporation,"$195,000 ","$195,000 ",$0 ,New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,9/13/2024,North America,Chemicals/Oil/Gas/Resources,,,Karson Keogh
8/1/2024,3.08E+11,Sita Holdings UK Ltd - S2C,Sita Holdings UK Ltd,"$105,150 ","$46,350 ","$58,800 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,10/31/2024,Europe,BFSI,,,Sam Zaki
8/1/2024,3.08E+11,Barry Callebaut S2P (via EY Suisse),Barry Callebaut AG,"$45,000 ","$45,000 ",$0 ,New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,10/30/2024,Europe,CPG & Retail,,,Uwe Stroh
8/1/2024,3.08E+11,Johnson Electric_S2C,Johnson Electric (HK) Holdings Limited,"$105,000 ","$45,000 ","$60,000 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,11/29/2024,APAC,Automotive and Industrial,,,Louie Li
8/1/2024,3.08E+11,MONDELEZ - SPEND - ICM - SHOULD COST,Mondelez Europe GmbH,"$78,750 ","$45,000 ","$33,750 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),15%,12/20/2024,Europe,CPG & Retail,,,Bernard Remacle
8/1/2024,3.08E+11,MAS Holdings -S2P,MAS Holdings,"$56,550 ","$42,300 ","$14,250 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,12/30/2024,APAC,CPG & Retail,,,Franic Seah
8/1/2024,3.08E+11,Direct Line Insurance Group Plc - S2C,Direct Line Insurance Group Plc,"$81,660 ","$38,100 ","$43,560 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,11/15/2024,Europe,BFSI,,,Sam Zaki
8/1/2024,3.08E+11,Nestle - Auto Sourcing & Negotiations,Nestle USA,"$245,000 ","$125,000 ","$120,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),50%,9/27/2024,North America,CPG & Retail,,,AJ Rohan
8/1/2024,3.08E+11,PCHI - Autonomous Sourcing/Negotiation,Party City Holdco Inc,"$175,000 ","$125,000 ","$50,000 ",Cross Sell,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,9/27/2024,North America,CPG & Retail,,,AJ Rohan
8/1/2024,3.08E+11,Mansfield Energy- CLM,Mansfield Energy Corporation,"$37,500 ","$37,500 ",$0 ,New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,10/11/2024,North America,Chemicals/Oil/Gas/Resources,,,Mattie Farnsworth
8/1/2024,3.08E+11,Atlantic Aviation_P2P_Mid Enterprise,Atlantic Aviation Fbo Holdings LLC,"$138,000 ","$67,500 ","$70,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),50%,9/30/2024,North America,Other Services,,,Sneha Dolare
8/1/2024,3.08E+11,VOSS Automotive China_S2P,"VOSS Automotive Components(Jinan) Co., Ltd","$75,000 ","$37,500 ","$37,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,11/27/2024,APAC,Automotive and Industrial,,,Louie Li
8/1/2024,3.08E+11,Diageo India_ICM_July 2024,Diageo India Private Limited,"$75,000 ","$37,500 ","$37,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,11/30/2024,APAC,CPG & Retail,,,Amit Bhatia
